model,q,accuracy,balanced_accuracy,nll,brier,auroc,runtime_seconds,users
neural_memory_mirt_ft_svd_rerank_user_discriminative_rich,100,0.757670000840548,0.7738129465771185,0.4901782126929903,0.1583916675299405,0.8494672249640282,0.4541830363746157,16
neural_memory_mirt_ft_svd_rerank_user_discriminative_l2,100,0.7552849457846517,0.7696083216312483,0.4911965198854435,0.1588135818019509,0.8482326129709059,0.4601100945001235,16
neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_rich,100,0.7502206438597966,0.7767955369768978,0.5128263949045536,0.1659197187982499,0.8494672356798281,0.4435592585628001,16
neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_freq,100,0.7500840548037321,0.7768974571318703,0.51287628117733,0.1659742137417196,0.849051407779015,0.4559147851252874,16
neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_l2,100,0.7496164999579726,0.7760236187903967,0.5140522928719212,0.1664187842980027,0.8482325490312499,0.4630311746880124,16
neural_memory_mirt_online_user_logreg_user_discriminative_legacy,100,0.735868286122552,0.6528881608298359,0.518601827499849,0.1724288393743335,0.7995749410793674,0.7479119500628713,16
neural_memory_mirt_budget_adaptive_refined_raw_user_discriminative_rich,1000,0.8415874784032009,0.7946998249110919,0.3826488963053359,0.1185147901996969,0.9007343788475484,0.9365376958128308,16
neural_memory_mirt_rasch_twopl_voteuser_grid_35_45_20_user_discriminative_rich,1000,0.8407406565426935,0.7915814743931617,0.3835733249444184,0.1182778565188093,0.9005607867826283,0.9255128611873716,16
neural_memory_mirt_rasch_twopl_voteuser_grid_30_50_20_user_discriminative_rich,1000,0.8407179230699282,0.7920621015122169,0.3834382719240088,0.1182454765125535,0.9005567299896425,0.9311346344375124,16
neural_memory_mirt_rasch_twopl_voteuser_grid_35_50_15_user_discriminative_rich,1000,0.8407065563335455,0.7915458592931757,0.3850055691736593,0.1182912820413741,0.9004095816045262,0.9326220066250244,16
neural_memory_mirt_rasch_twopl_voteuser_grid_40_40_20_user_discriminative_rich,1000,0.8406951895971628,0.7912028337088868,0.3837135727823363,0.1183123091325196,0.9005629763134125,0.9382709675621754,16
