model,q,accuracy,balanced_accuracy,nll,brier,auroc,runtime_seconds,users
neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_rich,100,0.7502206438597966,0.7767955369768978,0.5128263949045536,0.1659197187982499,0.8494672356798281,0.4435592585628001,16
neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_freq,100,0.7500840548037321,0.7768974571318703,0.51287628117733,0.1659742137417196,0.849051407779015,0.4559147851252874,16
neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_l2,100,0.7496164999579726,0.7760236187903967,0.5140522928719212,0.1664187842980027,0.8482325490312499,0.4630311746880124,16
neural_memory_mirt_online_user_logreg_user_discriminative_legacy,100,0.735868286122552,0.6528881608298359,0.518601827499849,0.1724288393743335,0.7995749410793674,0.7479119500628713,16
neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_l2,1000,0.8326816404473948,0.8024752534875618,0.3970189025867228,0.1245760889723896,0.9013864203399936,0.9763214301253812,16
neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_rich,1000,0.8326134400290989,0.8024452495032077,0.3969626812318766,0.1245769918896257,0.901368078986728,0.9814210797499072,16
neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_freq,1000,0.8321701373101755,0.8010227711124209,0.397894299784772,0.1249188152141868,0.9010214799981178,0.968220556937922,16
neural_memory_mirt_vote_userlogreg_hybrid_user_discriminative_legacy,1000,0.8317041011184869,0.8006334175959999,0.3989769933482642,0.1253321855328976,0.9008692300207556,1.102004802999545,16
neural_memory_mirt_ft_svd_rerank_user_discriminative_freq,1000,0.799922706192598,0.7964552817994764,0.4364245886931504,0.1374002648517489,0.8731161862622868,1.0801443558123085,16
neural_memory_mirt_ft_svd_rerank_user_discriminative_rich,1000,0.7995191870510139,0.7949472490250769,0.4366550393663517,0.1374360807240008,0.8734126766887927,1.0378381037505733,16
neural_memory_mirt_ft_svd_rerank_user_discriminative_l2,1000,0.7979846776393562,0.7925550905144454,0.4379807337472392,0.1379778813570737,0.8713315699134417,1.0555400745624866,16
neural_memory_mirt_ft_kernel_smooth_user_discriminative_rich,1000,0.7967457033736474,0.8242459450396339,0.4580291332711004,0.1444347919896244,0.8997464205944053,1.090890744250146,16
neural_memory_mirt_ft_kernel_smooth_user_discriminative_l2,1000,0.7963251341274893,0.8240512191176351,0.4578420983067691,0.1444695484824478,0.8997593644133242,1.1152349347501058,16
neural_memory_mirt_ft_kernel_smooth_user_discriminative_freq,1000,0.7962739838137673,0.824108755424532,0.4583600431656036,0.1446612603031098,0.8992575753867613,1.0844631742497768,16
neural_memory_mirt_ft_kernel_user_discriminative_rich,1000,0.7961148495044104,0.8241441741794167,0.4572651412976966,0.14426447218284,0.9000483513658594,1.096404075375176,16
neural_memory_mirt_ft_kernel_user_discriminative_l2,1000,0.7960011821405838,0.8241848898961552,0.4569442298817869,0.1442232602275907,0.9000104504853722,1.1651657593752134,16
neural_memory_mirt_ft_kernel_user_discriminative_freq,1000,0.7958079476220787,0.824067430997758,0.4578143596213624,0.1445561153814196,0.8994245281231594,1.1216289755623166,16
neural_memory_mirt_ft_kernel_user_discriminative_legacy,1000,0.7955749295262344,0.8239251038409973,0.457444404583216,0.1445018709637224,0.8996514059135419,2.955869063249793,16
neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_freq,1000,0.7834750386469037,0.8049594688708417,0.4645525901498686,0.1474207579158246,0.8731161643732784,1.0666548221254288,16
neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_rich,1000,0.7834352550695645,0.8044292517870518,0.4646816770313278,0.1474182116799056,0.8734126502062098,1.0086049115002425,16
neural_memory_mirt_ft_svd_rerank_centered_user_discriminative_l2,1000,0.7821110302809857,0.802790185639688,0.4662516064838553,0.1480575399473309,0.8713315058111513,1.0912091582506491,16
