estimator,q,balanced_accuracy,accuracy,nll,brier,auroc,runtime_seconds,source,source_path
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w50_50,1000,0.7926115285870684,0.839245930708375,0.4115361541303944,0.1185937332088472,0.8988328392539214,0.4408732534375303,grouped_residual_irt_q1000_bias_anchor_g16,
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w50_50_bp060,1000,0.7925463127446666,0.8393823315449668,0.4113915254577582,0.1185805005919948,0.8983293853781638,0.4390611628123224,grouped_residual_irt_q1000_bias_pca_g16,
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w55_45_bp060,1000,0.7923476287799958,0.8395528325907066,0.4110289119520598,0.1185650290079274,0.8983345396657213,0.4465691778126484,grouped_residual_irt_q1000_bias_pca_g16,
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w65_35_bm030,1000,0.791884179843653,0.8396551332181504,0.410252342445537,0.1185071019751456,0.8983667153788136,0.4433049441875027,grouped_residual_irt_q1000_bias_pca_g16,
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w55_45,1000,0.7918686979052735,0.8395471492225153,0.4111875043211065,0.1185793872033889,0.8988338461414611,0.4705404608124581,grouped_residual_irt_q1000_bias_anchor_g16,
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w65_35_bm030,1000,0.791829970831262,0.839717650268255,0.4113035186414223,0.1188440452216928,0.8993938652098299,0.4532023818749167,grouped_residual_irt_q1000_bias_anchor_g64,
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w55_45_bp030,1000,0.7916964954443493,0.8389674456670001,0.4112499065864234,0.1186007753915602,0.8988338461414611,0.4748978231252749,grouped_residual_irt_q1000_bias_anchor_g16,
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w50_50_bp030,1000,0.7916837291344272,0.8388594616713649,0.4116016728917123,0.1186162868029198,0.8988328392539214,0.4424472272499997,grouped_residual_irt_q1000_bias_anchor_g16,
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w60_40_bp030,1000,0.7915805814097239,0.8390981631354005,0.4109226391890224,0.118588002440737,0.8988352240429511,0.4675789030621899,grouped_residual_irt_q1000_bias_anchor_g16,
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w60_40_bp060,1000,0.7914974809426204,0.8395016822769846,0.4106956913379782,0.1185544416959035,0.8983586010618808,0.4826247361248761,grouped_residual_irt_q1000_bias_pca_g16,
grouped_residual_irt_pca_quantile_g16_t030_rp100_twopl_hybrid_w70_30,1000,0.7914572207274462,0.840189369828135,0.4098935819357789,0.1184639063509985,0.89842401038628,1.259174680374997,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g16_t030_rp100/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w65_35_bp030,1000,0.7914308786635056,0.8393084477584796,0.4106154310766495,0.1185779695294566,0.8988382988766371,0.461465437062543,grouped_residual_irt_q1000_bias_anchor_g16,
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w55_45_bp030,1000,0.7913880706913243,0.8387685277803038,0.4118540350789763,0.118825842371535,0.8993938652098299,0.4663710500628895,grouped_residual_irt_q1000_bias_anchor_g64,
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w50_50_bp030,1000,0.791387207166951,0.8386491770482859,0.4121587112198237,0.1188236056570508,0.8993938652098299,0.4588911803748488,grouped_residual_irt_q1000_bias_anchor_g64,
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w60_40,1000,0.7913565281987511,0.839666499954533,0.4108633537705213,0.1185677954802453,0.8988352240429511,1.681200136124971,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp100_twopl_hybrid_w60_40,1000,0.7913434289345358,0.8396608165863417,0.410865989842231,0.1185686265633652,0.898836542269306,1.9295044751874,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w60_40_bp030,1000,0.7912667709963048,0.8388935618805129,0.4115724976368494,0.1188302741236135,0.8993938652098299,0.4534904829374682,grouped_residual_irt_q1000_bias_anchor_g64,
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w65_35_bp030,1000,0.7912600233263646,0.8392061471310357,0.4113096669227558,0.1188369022152902,0.8993938652098299,0.4500021143124968,grouped_residual_irt_q1000_bias_anchor_g64,
grouped_residual_irt_anchor_cosine_g64_t010_rp200_twopl_hybrid_w60_40,1000,0.7911303621922549,0.8397062835318724,0.4114370918179017,0.1187810390978509,0.8994700371885971,1.6966558713750717,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w50_50,1000,0.7910994525310613,0.8393084477584796,0.4120877795838861,0.1187987454563921,0.8993938652098299,0.5396828061246879,grouped_residual_irt_q1000_bias_anchor_g64,
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w55_45,1000,0.7910964161050136,0.8395471492225153,0.4117856773050374,0.1188018952508736,0.8993938652098299,0.4521882208124452,grouped_residual_irt_q1000_bias_anchor_g64,
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w60_40,1000,0.7910879969512964,0.8397119669000637,0.411506713827062,0.1188072528915329,0.8993938652098299,1.7877968264375,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w65_35,1000,0.7910384650590647,0.8397915340547422,0.4105592660068575,0.1185589599232592,0.8988382988766371,0.4627061555625005,grouped_residual_irt_q1000_bias_anchor_g16,
grouped_residual_irt_anchor_cosine_g64_t010_rp200_twopl_hybrid_w70_30,1000,0.7910286227179354,0.8398881513139947,0.4109280721821342,0.1187943000348283,0.8994700839497828,1.6360966767501282,grouped_residual_irt_focus_round2,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
