model,q,accuracy,balanced_accuracy,nll,brier,auroc
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.37), np.float64(0.42), np.float64(0.15), np.float64(0.06)] | b=0.010",1000,0.8414283440938438,0.837149933624169,0.3838560696208994,0.11855074524493536,0.9127398847600838
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.34), np.float64(0.44), np.float64(0.155), np.float64(0.065)] | b=0.010",1000,0.8414283440938438,0.8371401781578032,0.38347437094108405,0.11853682375272853,0.912865851270576
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.39), np.float64(0.41), np.float64(0.14), np.float64(0.06)] | b=0.010",1000,0.8414283440938438,0.8371373908816987,0.383896463050626,0.118558461269721,0.9127230989542012
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.4), np.float64(0.4), np.float64(0.14), np.float64(0.06)] | b=0.010",1000,0.8414283440938438,0.8371359972436465,0.38392372243412554,0.11856444776998463,0.9127352018661281
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.35), np.float64(0.42), np.float64(0.16), np.float64(0.07)] | b=0.010",1000,0.8414283440938438,0.8371346036055942,0.38325364460185946,0.1185493678733793,0.9130336039772355
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.38), np.float64(0.4), np.float64(0.15), np.float64(0.07)] | b=0.010",1000,0.8414283440938438,0.837106730844549,0.38331890984044314,0.11856109053253298,0.9130372934009192
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.39), np.float64(0.4), np.float64(0.14), np.float64(0.07)] | b=0.010",1000,0.8414283440938438,0.8370969753781832,0.38333186674262715,0.11856255377970944,0.9130140649199991
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.36), np.float64(0.42), np.float64(0.16), np.float64(0.06)] | b=0.020",1000,0.8414283440938438,0.8369548242968532,0.38385666839938987,0.11855957589835955,0.9127590600999473
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.36), np.float64(0.44), np.float64(0.13), np.float64(0.07)] | b=0.020",1000,0.8414283440938438,0.8369144087933377,0.3832427936524212,0.11854957508635827,0.9129401061914566
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.4), np.float64(0.41), np.float64(0.12), np.float64(0.07)] | b=0.000",1000,0.8414226607256524,0.8372870139687212,0.3833498076626707,0.11856335702618351,0.9129485280711603
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.33), np.float64(0.47), np.float64(0.14), np.float64(0.06)] | b=0.010",1000,0.8414226607256524,0.8371587992679135,0.38373722399054644,0.11852428499975787,0.9126572965287444
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.32), np.float64(0.46), np.float64(0.155), np.float64(0.065)] | b=0.010",1000,0.8414226607256524,0.837144862887391,0.38342067146929915,0.11852544774936151,0.9128419489815882
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[np.float64(0.37), np.float64(0.43), np.float64(0.14), np.float64(0.06)] | b=0.010",1000,0.8414226607256524,0.8371351074210251,0.38384256024715807,0.11854673726675594,0.9127012502785351
