model,q,accuracy,balanced_accuracy,nll,brier,auroc
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.34, 0.45, 0.15, 0.06] | b=0.010",1000,0.8414908611439483,0.8372266162995115,0.38377634655921805,0.11853364084849669,0.912706012629134
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.34, 0.445, 0.15, 0.065] | b=0.010",1000,0.8414908611439483,0.8371987435384662,0.3834657825431527,0.11853395388639518,0.9128520745900391
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.36, 0.41, 0.16, 0.07] | b=0.020",1000,0.8414908611439483,0.836985516916471,0.38328863955068915,0.11856374012748205,0.9130445828267837
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.35, 0.445, 0.145, 0.06] | b=0.010",1000,0.841485177775757,0.8372076091822108,0.3837955677922614,0.11853705100987423,0.9126998192722595
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.315, 0.47, 0.15, 0.065] | b=0.010",1000,0.841485177775757,0.8372062155441585,0.38339895508875965,0.11851984434224236,0.9128217943320426
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.34, 0.45, 0.145, 0.065] | b=0.010",1000,0.841485177775757,0.8371908855255837,0.383458257712733,0.11853158806335595,0.9128354664471127
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.345, 0.445, 0.145, 0.065] | b=0.010",1000,0.841485177775757,0.8371894918875316,0.38347172737054114,0.11853445970231839,0.9128413341759785
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.335, 0.445, 0.15, 0.07] | b=0.010",1000,0.841485177775757,0.837186704611427,0.38319279878912577,0.11853380707143414,0.9129882055194876
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.375, 0.405, 0.16, 0.06] | b=0.020",1000,0.841485177775757,0.8370124998548949,0.3838968734415078,0.11856825302587083,0.9127755651196893
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.36, 0.435, 0.145, 0.06] | b=0.010",1000,0.8414794944075658,0.837203932083485,0.3838220793530558,0.11854272836443595,0.9127107134860599
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.325, 0.47, 0.14, 0.065] | b=0.010",1000,0.8414794944075658,0.8371899957029625,0.3834117287452261,0.11852126709355285,0.9127996471039401
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.365, 0.41, 0.165, 0.06] | b=0.020",1000,0.8414794944075658,0.8370199718605872,0.38388046606436027,0.11856621579246254,0.912777573694468
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.37, 0.405, 0.16, 0.065] | b=0.020",1000,0.8414794944075658,0.836986524547333,0.3835744621128999,0.1185663517222485,0.9129143325411836
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.36, 0.405, 0.165, 0.07] | b=0.020",1000,0.8414794944075658,0.8369851309092808,0.3832999346939578,0.11856785899936882,0.9130563298883321
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.325, 0.465, 0.15, 0.06] | b=0.010",1000,0.8414738110393744,0.8372086168130728,0.3837371717130136,0.11852536820143514,0.912688259379619
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.355, 0.44, 0.145, 0.06] | b=0.010",1000,0.8414738110393744,0.8371946804325502,0.3838087944759833,0.11853987968680701,0.9127053020428676
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.38, 0.42, 0.14, 0.06] | b=0.010",1000,0.8414738110393744,0.8371849249661845,0.3838694121123913,0.11855255840465159,0.9127115891480916
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.37, 0.41, 0.16, 0.06] | b=0.020",1000,0.8414738110393744,0.8370023583813389,0.38388341925868125,0.11856533992245125,0.912770057109141
"rasch25 + twopl25 + vote_t10_pb0_p1 + userlogreg_c01_pb50 | w=[0.35, 0.415, 0.165, 0.07] | b=0.020",1000,0.8414738110393744,0.836981453810555,0.3832719327328043,0.11856181528259155,0.9130453858502339
